index,L1 norm,Treatment
15,1.528,SINGLE-NO
16,2.1079999999999997,SINGLE-NO
17,4.137,SINGLE-NO
18,3.114,SINGLE-NO
19,3.204,SINGLE-NO
20,3.677999999999999,SINGLE-NO
21,1.989,SINGLE-NO
22,2.31,SINGLE-NO
23,1.9460000000000002,SINGLE-NO
24,2.9659999999999997,SINGLE-NO
25,2.7329999999999997,SINGLE-NO
26,2.26,SINGLE-NO
27,2.593,SINGLE-NO
28,2.248,SINGLE-NO
29,2.4190000000000005,SINGLE-NO
30,2.426,SINGLE-NO
31,1.85,SINGLE-NO
32,1.8230000000000004,SINGLE-NO
33,2.403,SINGLE-NO
34,3.3769999999999993,SINGLE-NO
35,2.354,SINGLE-NO
36,2.444,SINGLE-NO
37,2.917999999999999,SINGLE-NO
38,1.229,SINGLE-NO
39,1.55,SINGLE-NO
40,1.162,SINGLE-NO
41,2.0039999999999996,SINGLE-NO
42,1.7710000000000001,SINGLE-NO
43,1.546,SINGLE-NO
44,1.6309999999999998,SINGLE-NO
45,1.5340000000000003,SINGLE-NO
46,1.6590000000000003,SINGLE-NO
47,1.666,SINGLE-NO
48,1.09,SINGLE-NO
49,1.0630000000000002,SINGLE-NO
50,1.6429999999999998,SINGLE-NO
51,3.9659999999999993,SINGLE-NO
52,2.9989999999999997,SINGLE-NO
53,3.033,SINGLE-NO
54,3.562999999999999,SINGLE-NO
55,1.8179999999999998,SINGLE-NO
56,2.139,SINGLE-NO
57,1.775,SINGLE-NO
58,2.5989999999999998,SINGLE-NO
59,2.3659999999999997,SINGLE-NO
60,2.1609999999999996,SINGLE-NO
61,2.282,SINGLE-NO
62,2.1790000000000003,SINGLE-NO
63,2.248,SINGLE-NO
64,2.255,SINGLE-NO
65,1.7349999999999999,SINGLE-NO
66,1.7080000000000002,SINGLE-NO
67,2.2319999999999998,SINGLE-NO
68,3.1819999999999995,SINGLE-NO
69,2.159,SINGLE-NO
70,2.249,SINGLE-NO
71,2.722999999999999,SINGLE-NO
72,1.034,SINGLE-NO
73,1.355,SINGLE-NO
74,0.9910000000000001,SINGLE-NO
75,2.0989999999999998,SINGLE-NO
76,1.8659999999999999,SINGLE-NO
77,1.351,SINGLE-NO
78,1.726,SINGLE-NO
79,1.3390000000000002,SINGLE-NO
80,1.4640000000000002,SINGLE-NO
81,1.471,SINGLE-NO
82,0.8950000000000001,SINGLE-NO
83,0.8680000000000002,SINGLE-NO
84,1.448,SINGLE-NO
85,4.300999999999999,SINGLE-NO
86,3.408,SINGLE-NO
87,3.3120000000000003,SINGLE-NO
88,3.9719999999999986,SINGLE-NO
89,1.8969999999999998,SINGLE-NO
90,2.218,SINGLE-NO
91,1.854,SINGLE-NO
92,3.0519999999999996,SINGLE-NO
93,2.8729999999999998,SINGLE-NO
94,2.57,SINGLE-NO
95,2.9749999999999996,SINGLE-NO
96,2.588,SINGLE-NO
97,2.327,SINGLE-NO
98,2.3339999999999996,SINGLE-NO
99,2.144,SINGLE-NO
100,2.117,SINGLE-NO
101,2.311,SINGLE-NO
102,2.983999999999999,SINGLE-NO
103,2.055,SINGLE-NO
104,2.0509999999999997,SINGLE-NO
105,2.618999999999999,SINGLE-NO
106,0.8359999999999999,SINGLE-NO
107,1.157,SINGLE-NO
108,0.7929999999999999,SINGLE-NO
109,1.9009999999999998,SINGLE-NO
110,1.668,SINGLE-NO
111,1.2170000000000003,SINGLE-NO
112,1.6219999999999999,SINGLE-NO
113,1.235,SINGLE-NO
114,1.266,SINGLE-NO
115,1.2730000000000001,SINGLE-NO
116,0.7910000000000001,SINGLE-NO
117,0.7640000000000002,SINGLE-NO
118,1.25,SINGLE-NO
119,3.4299999999999997,SINGLE-NO
120,2.5370000000000004,SINGLE-NO
121,2.4410000000000003,SINGLE-NO
122,3.100999999999999,SINGLE-NO
123,0.4840000000000004,SINGLE-NO
124,0.8050000000000004,SINGLE-NO
125,0.5250000000000004,SINGLE-NO
126,2.1530000000000005,SINGLE-NO
127,1.9740000000000002,SINGLE-NO
128,1.6990000000000005,SINGLE-NO
129,2.0760000000000005,SINGLE-NO
130,1.7170000000000005,SINGLE-NO
131,0.9140000000000006,SINGLE-NO
132,0.9210000000000003,SINGLE-NO
133,1.2730000000000004,SINGLE-NO
134,1.2460000000000004,SINGLE-NO
135,0.8980000000000001,SINGLE-NO
136,5.363999999999997,SINGLE-NO
137,4.470999999999998,SINGLE-NO
138,4.374999999999998,SINGLE-NO
139,5.034999999999997,SINGLE-NO
140,2.2739999999999982,SINGLE-NO
141,2.0649999999999986,SINGLE-NO
142,2.4589999999999983,SINGLE-NO
143,4.1149999999999975,SINGLE-NO
144,3.935999999999998,SINGLE-NO
145,3.6329999999999982,SINGLE-NO
146,4.0379999999999985,SINGLE-NO
147,3.6509999999999985,SINGLE-NO
148,2.5059999999999985,SINGLE-NO
149,2.5189999999999984,SINGLE-NO
150,3.162999999999999,SINGLE-NO
151,3.1799999999999984,SINGLE-NO
152,2.309999999999998,SINGLE-NO
153,5.204999999999999,SINGLE-NO
154,4.311999999999999,SINGLE-NO
155,4.215999999999999,SINGLE-NO
156,4.875999999999998,SINGLE-NO
157,2.220999999999999,SINGLE-NO
158,2.5419999999999994,SINGLE-NO
159,2.299999999999999,SINGLE-NO
160,3.9559999999999986,SINGLE-NO
161,3.7769999999999992,SINGLE-NO
162,3.4739999999999993,SINGLE-NO
163,3.8789999999999996,SINGLE-NO
164,3.4919999999999995,SINGLE-NO
165,2.651,SINGLE-NO
166,2.6579999999999995,SINGLE-NO
167,3.0479999999999996,SINGLE-NO
168,3.0209999999999995,SINGLE-NO
169,2.634999999999999,SINGLE-NO
170,4.030999999999999,SINGLE-NO
171,3.007999999999999,SINGLE-NO
172,3.0979999999999994,SINGLE-NO
173,3.5719999999999983,SINGLE-NO
174,1.8829999999999993,SINGLE-NO
175,2.2039999999999993,SINGLE-NO
176,1.8399999999999994,SINGLE-NO
177,2.947999999999999,SINGLE-NO
178,2.714999999999999,SINGLE-NO
179,2.1999999999999993,SINGLE-NO
180,2.5749999999999993,SINGLE-NO
181,2.1879999999999997,SINGLE-NO
182,2.3129999999999997,SINGLE-NO
183,2.3199999999999994,SINGLE-NO
184,1.7439999999999993,SINGLE-NO
185,1.7169999999999996,SINGLE-NO
186,2.2969999999999993,SINGLE-NO
187,3.754999999999999,SINGLE-NO
188,2.732,SINGLE-NO
189,2.822,SINGLE-NO
190,3.2959999999999985,SINGLE-NO
191,1.607,SINGLE-NO
192,1.928,SINGLE-NO
193,1.564,SINGLE-NO
194,2.6719999999999997,SINGLE-NO
195,2.439,SINGLE-NO
196,1.924,SINGLE-NO
197,2.299,SINGLE-NO
198,1.9120000000000001,SINGLE-NO
199,2.037,SINGLE-NO
200,2.044,SINGLE-NO
201,1.468,SINGLE-NO
202,1.4410000000000003,SINGLE-NO
203,2.021,SINGLE-NO
204,4.765999999999999,SINGLE-NO
205,3.8729999999999998,SINGLE-NO
206,3.777,SINGLE-NO
207,4.4369999999999985,SINGLE-NO
208,1.6759999999999997,SINGLE-NO
209,1.4669999999999999,SINGLE-NO
210,1.8610000000000002,SINGLE-NO
211,3.5169999999999995,SINGLE-NO
212,3.286,SINGLE-NO
213,3.035,SINGLE-NO
214,3.4399999999999995,SINGLE-NO
215,3.053,SINGLE-NO
216,1.908,SINGLE-NO
217,1.9209999999999996,SINGLE-NO
218,2.609,SINGLE-NO
219,2.582,SINGLE-NO
220,1.712,SINGLE-NO
221,4.649999999999999,SINGLE-NO
222,3.7569999999999997,SINGLE-NO
223,3.6609999999999996,SINGLE-NO
224,4.320999999999998,SINGLE-NO
225,1.5599999999999996,SINGLE-NO
226,1.805,SINGLE-NO
227,1.7449999999999997,SINGLE-NO
228,2.6389999999999993,SINGLE-NO
229,2.5519999999999996,SINGLE-NO
230,2.019,SINGLE-NO
231,3.0279999999999996,SINGLE-NO
232,1.9049999999999998,SINGLE-NO
233,1.9140000000000001,SINGLE-NO
234,1.921,SINGLE-NO
235,2.493,SINGLE-NO
236,2.4659999999999997,SINGLE-NO
237,1.8979999999999995,SINGLE-NO
238,3.270999999999999,SINGLE-NO
239,2.3680000000000003,SINGLE-NO
240,2.338,SINGLE-NO
241,2.9319999999999986,SINGLE-NO
242,1.123,SINGLE-NO
243,1.444,SINGLE-NO
244,1.08,SINGLE-NO
245,1.6159999999999999,SINGLE-NO
246,1.383,SINGLE-NO
247,0.9580000000000002,SINGLE-NO
248,1.639,SINGLE-NO
249,0.9760000000000002,SINGLE-NO
250,1.5530000000000002,SINGLE-NO
251,1.56,SINGLE-NO
252,1.104,SINGLE-NO
253,1.0770000000000004,SINGLE-NO
254,1.537,SINGLE-NO
255,4.098999999999999,SINGLE-NO
256,3.1719999999999997,SINGLE-NO
257,3.166,SINGLE-NO
258,3.735999999999999,SINGLE-NO
259,1.9509999999999996,SINGLE-NO
260,2.272,SINGLE-NO
261,1.908,SINGLE-NO
262,2.253999999999999,SINGLE-NO
263,2.1129999999999995,SINGLE-NO
264,1.434,SINGLE-NO
265,2.443,SINGLE-NO
266,1.3200000000000003,SINGLE-NO
267,2.3810000000000002,SINGLE-NO
268,2.388,SINGLE-NO
269,1.908,SINGLE-NO
270,1.8810000000000002,SINGLE-NO
271,2.3649999999999998,SINGLE-NO
272,2.882999999999999,SINGLE-NO
273,1.8599999999999999,SINGLE-NO
274,1.9500000000000002,SINGLE-NO
275,2.4239999999999986,SINGLE-NO
276,0.735,SINGLE-NO
277,1.056,SINGLE-NO
278,0.6920000000000001,SINGLE-NO
279,1.7999999999999998,SINGLE-NO
280,1.5669999999999997,SINGLE-NO
281,1.052,SINGLE-NO
282,1.427,SINGLE-NO
283,1.04,SINGLE-NO
284,1.165,SINGLE-NO
285,1.1720000000000002,SINGLE-NO
286,0.5960000000000001,SINGLE-NO
287,0.5690000000000002,SINGLE-NO
288,1.149,SINGLE-NO
289,3.9769999999999994,SINGLE-NO
290,2.954,SINGLE-NO
291,3.0440000000000005,SINGLE-NO
292,3.517999999999999,SINGLE-NO
293,1.8290000000000002,SINGLE-NO
294,2.1500000000000004,SINGLE-NO
295,1.7860000000000003,SINGLE-NO
296,2.23,SINGLE-NO
297,1.9970000000000003,SINGLE-NO
298,1.4820000000000002,SINGLE-NO
299,2.225,SINGLE-NO
300,1.4700000000000002,SINGLE-NO
301,2.2590000000000003,SINGLE-NO
302,2.266,SINGLE-NO
303,1.6900000000000004,SINGLE-NO
304,1.6630000000000003,SINGLE-NO
305,2.2430000000000003,SINGLE-NO
0,3.3259999999999996,NO-PRIME
1,3.321999999999999,NO-PRIME
2,3.2889999999999997,NO-PRIME
3,3.967999999999999,NO-PRIME
4,3.884999999999999,NO-PRIME
5,3.8569999999999993,NO-PRIME
6,4.984999999999999,NO-PRIME
7,2.303,NO-PRIME
8,2.345,NO-PRIME
9,2.3960000000000004,NO-PRIME
10,2.945,NO-PRIME
11,2.892,NO-PRIME
12,2.854,NO-PRIME
13,3.962,NO-PRIME
14,2.3930000000000002,NO-PRIME
15,2.389,NO-PRIME
16,2.3140000000000005,NO-PRIME
17,3.035,NO-PRIME
18,2.952,NO-PRIME
19,2.9240000000000004,NO-PRIME
20,4.0520000000000005,NO-PRIME
21,2.866999999999999,NO-PRIME
22,2.908999999999999,NO-PRIME
23,2.9599999999999986,NO-PRIME
24,3.5089999999999986,NO-PRIME
25,3.4559999999999986,NO-PRIME
26,3.4179999999999984,NO-PRIME
27,4.525999999999999,NO-PRIME
28,1.1780000000000002,NO-PRIME
29,1.1740000000000002,NO-PRIME
30,1.1530000000000002,NO-PRIME
31,1.8199999999999998,NO-PRIME
32,1.737,NO-PRIME
33,1.7089999999999999,NO-PRIME
34,2.837,NO-PRIME
35,1.499,NO-PRIME
36,1.495,NO-PRIME
37,1.4740000000000004,NO-PRIME
38,2.141,NO-PRIME
39,2.0279999999999996,NO-PRIME
40,2.03,NO-PRIME
41,3.1580000000000004,NO-PRIME
42,1.1350000000000002,NO-PRIME
43,1.131,NO-PRIME
44,1.1100000000000003,NO-PRIME
45,1.777,NO-PRIME
46,1.6640000000000001,NO-PRIME
47,1.666,NO-PRIME
48,2.7940000000000005,NO-PRIME
49,2.243,NO-PRIME
50,2.2389999999999994,NO-PRIME
51,1.9799999999999995,NO-PRIME
52,2.645,NO-PRIME
53,2.6639999999999997,NO-PRIME
54,2.7739999999999996,NO-PRIME
55,3.14,NO-PRIME
56,2.01,NO-PRIME
57,2.0060000000000002,NO-PRIME
58,1.7469999999999999,NO-PRIME
59,2.3360000000000003,NO-PRIME
60,2.4309999999999996,NO-PRIME
61,2.5410000000000004,NO-PRIME
62,2.999,NO-PRIME
63,1.495,NO-PRIME
64,1.5070000000000003,NO-PRIME
65,1.4100000000000004,NO-PRIME
66,2.015,NO-PRIME
67,2.024,NO-PRIME
68,2.026,NO-PRIME
69,2.2540000000000004,NO-PRIME
70,1.87,NO-PRIME
71,1.912,NO-PRIME
72,1.7790000000000006,NO-PRIME
73,2.272,NO-PRIME
74,2.3509999999999995,NO-PRIME
75,2.421,NO-PRIME
76,3.2329999999999997,NO-PRIME
77,1.4830000000000003,NO-PRIME
78,1.4810000000000003,NO-PRIME
79,1.4160000000000006,NO-PRIME
80,2.003,NO-PRIME
81,2.0420000000000003,NO-PRIME
