index,Shared_proportion,Group
0,0.09090909090909091,Household pairs
1,0.13333333333333333,Household pairs
2,0.16666666666666666,Household pairs
3,0.06896551724137931,Household pairs
4,0.0,Household pairs
5,0.0,Household pairs
6,0.0,Household pairs
7,0.0,Household pairs
8,0.0,Household pairs
9,0.0,Household pairs
10,0.0,Household pairs
11,0.0,Household pairs
12,0.0,Household pairs
13,0.15,Household pairs
14,0.14814814814814814,Household pairs
15,0.125,Household pairs
0,0.08571428571428572,Random pairs
1,0.07142857142857142,Random pairs
2,0.08,Random pairs
3,0.07272727272727272,Random pairs
4,0.0,Random pairs
5,0.0,Random pairs
6,0.0,Random pairs
7,0.0,Random pairs
8,0.05063291139240506,Random pairs
9,0.06153846153846154,Random pairs
10,0.06779661016949153,Random pairs
11,0.0625,Random pairs
12,0.0,Random pairs
13,0.0,Random pairs
14,0.0,Random pairs
15,0.0,Random pairs
16,0.0,Random pairs
17,0.0,Random pairs
18,0.0,Random pairs
19,0.0,Random pairs
20,0.0,Random pairs
21,0.03508771929824561,Random pairs
22,0.07407407407407407,Random pairs
23,0.08333333333333333,Random pairs
24,0.0,Random pairs
25,0.05,Random pairs
26,0.058823529411764705,Random pairs
27,0.030303030303030304,Random pairs
28,0.06349206349206349,Random pairs
29,0.07017543859649122,Random pairs
30,0.03125,Random pairs
31,0.06896551724137931,Random pairs
32,0.06666666666666667,Random pairs
33,0.04,Random pairs
34,0.045454545454545456,Random pairs
35,0.043478260869565216,Random pairs
36,0.0273972602739726,Random pairs
37,0.05970149253731343,Random pairs
38,0.057971014492753624,Random pairs
39,0.06666666666666667,Random pairs
40,0.043478260869565216,Random pairs
41,0.057971014492753624,Random pairs
42,0.0625,Random pairs
43,0.0392156862745098,Random pairs
44,0.03571428571428571,Random pairs
45,0.08,Random pairs
46,0.05405405405405406,Random pairs
47,0.047619047619047616,Random pairs
48,0.0547945205479452,Random pairs
49,0.03333333333333333,Random pairs
50,0.03076923076923077,Random pairs
51,0.06451612903225806,Random pairs
52,0.08333333333333333,Random pairs
53,0.056338028169014086,Random pairs
54,0.05405405405405406,Random pairs
55,0.05,Random pairs
56,0.024691358024691357,Random pairs
57,0.08695652173913043,Random pairs
58,0.07692307692307693,Random pairs
59,0.029850746268656716,Random pairs
60,0.0,Random pairs
61,0.1,Random pairs
62,0.03278688524590164,Random pairs
63,0.09090909090909091,Random pairs
64,0.0,Random pairs
65,0.0,Random pairs
66,0.04878048780487805,Random pairs
