index,L1 norm,Group
0,3.225999999999999,Household pairs
1,3.256999999999999,Household pairs
2,2.656999999999999,Household pairs
3,3.1839999999999993,Household pairs
4,3.2299999999999995,Household pairs
5,2.333,Household pairs
6,2.3640000000000003,Household pairs
7,1.634,Household pairs
8,2.161,Household pairs
9,2.3369999999999997,Household pairs
10,2.2370000000000005,Household pairs
11,2.2680000000000002,Household pairs
12,1.7240000000000002,Household pairs
13,2.2510000000000003,Household pairs
14,2.241,Household pairs
15,2.8969999999999985,Household pairs
16,2.927999999999998,Household pairs
17,2.1979999999999986,Household pairs
18,2.7249999999999988,Household pairs
19,2.900999999999999,Household pairs
20,1.6700000000000002,Household pairs
21,1.7120000000000002,Household pairs
22,1.747,Household pairs
23,1.9650000000000003,Household pairs
24,2.007,Household pairs
25,2.0239999999999996,Household pairs
26,1.205,Household pairs
27,1.247,Household pairs
28,1.2820000000000005,Household pairs
29,1.85,Household pairs
30,1.8459999999999999,Household pairs
31,1.8710000000000002,Household pairs
32,1.526,Household pairs
33,2.775,Household pairs
34,1.422,Household pairs
35,1.8760000000000003,Household pairs
36,1.8210000000000002,Household pairs
37,3.0700000000000003,Household pairs
38,1.717,Household pairs
39,2.1710000000000007,Household pairs
40,1.061,Household pairs
41,2.31,Household pairs
42,0.9570000000000001,Household pairs
43,1.4110000000000003,Household pairs
44,1.706,Household pairs
45,2.879,Household pairs
46,1.5459999999999998,Household pairs
47,2.0,Household pairs
48,3.8379999999999983,Household pairs
49,3.6789999999999994,Household pairs
50,2.374999999999999,Household pairs
51,2.099,Household pairs
52,3.2399999999999998,Household pairs
53,4.132999999999998,Household pairs
54,3.9739999999999993,Household pairs
55,2.6699999999999995,Household pairs
56,2.394,Household pairs
57,3.535,Household pairs
58,3.3729999999999984,Household pairs
59,3.2139999999999995,Household pairs
60,1.9099999999999993,Household pairs
61,1.634,Household pairs
62,2.775,Household pairs
63,3.961999999999998,Household pairs
64,3.802999999999999,Household pairs
65,2.5549999999999993,Household pairs
66,2.279,Household pairs
67,3.364,Household pairs
68,1.9709999999999996,Household pairs
69,1.7919999999999998,Household pairs
70,1.489,Household pairs
71,1.894,Household pairs
72,1.5070000000000001,Household pairs
73,2.193999999999999,Household pairs
74,2.0109999999999997,Household pairs
75,1.708,Household pairs
76,2.215,Household pairs
77,1.7260000000000004,Household pairs
78,1.8760000000000003,Household pairs
79,1.6969999999999998,Household pairs
80,1.394,Household pairs
81,1.851,Household pairs
82,1.4120000000000001,Household pairs
83,1.8199999999999998,Household pairs
84,1.737,Household pairs
85,1.7089999999999999,Household pairs
86,2.141,Household pairs
87,2.0279999999999996,Household pairs
88,2.03,Household pairs
89,1.777,Household pairs
90,1.6640000000000001,Household pairs
91,1.666,Household pairs
92,2.837,Household pairs
93,3.1580000000000004,Household pairs
94,2.7940000000000005,Household pairs
95,1.0100000000000002,Household pairs
96,2.2590000000000003,Household pairs
97,0.9060000000000001,Household pairs
98,1.3880000000000003,Household pairs
99,1.052,Household pairs
100,2.255,Household pairs
101,0.9020000000000001,Household pairs
102,1.3840000000000006,Household pairs
103,1.1570000000000003,Household pairs
104,2.2340000000000004,Household pairs
105,0.9590000000000002,Household pairs
106,1.3350000000000004,Household pairs
107,3.267999999999999,Household pairs
108,3.143,Household pairs
109,1.8389999999999995,Household pairs
110,1.5630000000000002,Household pairs
111,2.7040000000000006,Household pairs
112,3.3179999999999987,Household pairs
113,3.1589999999999994,Household pairs
114,1.9009999999999994,Household pairs
115,1.625,Household pairs
116,2.7199999999999998,Household pairs
117,3.296999999999999,Household pairs
118,3.138,Household pairs
