SampleID,CollectionDate,Vaccination Status,FarmID,Room,PB2_piN,PB2_piS,PB1_piN,PB1_piS,PB1-F2_piN,PB1-F2_piS,PA_piN,PA_piS,PA-X_piN,PA-X_piS,HA_piN,HA_piS,NP_piN,NP_piS,NA_piN,NA_piS,M1_piN,M1_piS,M2_piN,M2_piS,NS1_piN,NS1_piS,NS2_piN,NS2_piS,Whole_piN,Whole_piS
474,2,NO VAC,9,3,6.71E-05,5.16E-05,6.28E-05,0.000533987,0,0,0.000160749,0.000658849,0,0.000176258,0.000348501,0,0.000319793,0,7.48E-05,0,0.000129192,0.000361597,0.000533265,0,0.000175461,0,0.000201789,0,0.000157484,0.000215517
526,2,SINGLE LAIV,9,8,0.000117039,0.000449991,3.78E-05,0.000411698,0,0.000578983,0.00013209,0,9.60E-05,0,6.52E-05,0,0,0,0,0,8.60E-05,0,0,0,0.000165537,0,0,0,6.90E-05,0.000146708
650,4,NO VAC,9,3,0,0.00053207,9.35E-05,0.000428144,0.00012837,0,2.57E-05,0.000566394,0,0.000164877,7.43E-05,0.000250494,9.79E-05,0,0,0,0,0.000119653,0,0,0,0,0,0,3.99E-05,0.000279962
670,4,NO VAC,9,7,0,0.000152542,1.12E-05,0.000300245,0,0,0,5.55E-05,0,0,2.28E-05,3.87E-06,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,6.42E-06,8.02E-05
683,4,NO VAC,9,7,5.68E-05,0,2.42E-05,0,0.000229976,0,1.57E-05,0.000615776,4.85E-05,0,0.00050843,0.00100309,0,0.000840226,2.42E-05,0,0,0,0,0,0,0,0,0.000836158,8.37E-05,0.000321452
691,4,PRIME BOOST,9,11,3.05E-05,6.83E-05,4.33E-05,0.000255812,0.00018712,0,4.84E-05,2.01E-05,5.11E-05,0,0,0.000601978,7.19E-05,0,0,0.000137526,0,0,0,0,4.98E-05,0,0,0,3.45E-05,0.000141078
702,4,SINGLE LAIV,9,8,2.49E-07,0.000597119,2.77E-05,6.60E-05,0,0,0,0,0,0,0,1.38E-06,1.93E-05,0,0,0,0,0.000127158,0,0,0,0,7.16E-05,0,8.32E-06,0.000114395
716,4,SINGLE LAIV,9,10,2.38E-07,0,6.31E-05,0,0,0,2.26E-05,1.95E-05,0,2.05E-05,0,0,0,0,0,8.78E-06,0,0,0,0,0,0,0,0,1.35E-05,4.62E-06
738,5,NO VAC,9,3,0,0,0,0.00044353,0,0,2.17E-05,2.38E-04,0,0.000245398,NA,NA,0,0.000221807,NA,NA,0,0.000401967,0.000125883,0,0,0,0,0.000548148,7.50E-06,0.00022331
758,5,NO VAC,9,7,0,0.000522993,3.86E-05,7.01E-05,0,0,2.41E-05,0,7.43E-05,0,2.44E-05,1.41E-06,0,0.000631267,0,0,0,0,0.000638344,0,0,0,0,0,2.95E-05,0.000163906
771,5,NO VAC,9,9,0.000166142,0,1.57E-05,0.000308182,0,0,4.62E-05,7.56E-05,7.52E-05,0,1.76E-05,5.31E-05,0,0,0,0,0,0,0,0,0.000515264,0,0,0.002981464,6.49E-05,0.000134792
