SampleID,CollectionDate,Vaccination Status,FarmID,Room,PB2_piN,PB2_piS,PB1_piN,PB1_piS,PB1-F2_piN,PB1-F2_piS,PA_piN,PA_piS,PA-X_piN,PA-X_piS,HA_piN,HA_piS,NP_piN,NP_piS,NA_piN,NA_piS,M1_piN,M1_piS,M2_piN,M2_piS,NS1_piN,NS1_piS,NS2_piN,NS2_piS,Whole_piN,Whole_piS
779,5,PRIME BOOST,9,11,0,8.65E-05,6.20E-05,8.89E-06,0,0,5.74E-05,0.000103776,5.38E-05,0,2.76E-05,0.000147335,2.06E-05,0,2.43E-05,0,4.68E-07,0,0,0,0,0,8.33E-05,0,3.12E-05,4.84E-05
790,5,SINGLE LAIV,9,8,2.25E-07,0,0,7.17E-05,0,0,0,0,0,0,1.05E-05,8.63E-05,0,0,0,0,9.32E-07,0,0,0,0,0,0,0,1.28E-06,2.18E-05
804,5,SINGLE LAIV,9,10,0,0,6.39E-05,5.50E-05,0.000261433,0,0.000319329,8.87E-06,0,6.33E-06,0,0,0,0,0,1.43E-05,1.41E-06,0,0,0,0,0,0,0,6.32E-05,1.16E-05
805,5,SINGLE LAIV,9,10,0.000253946,0.000154248,1.72E-05,0.00092924,0,0,1.23E-05,0.000740583,0,0,0,0,6.65E-05,9.51E-05,0.00018367,0,0,0,0,0,6.78E-05,0.000360985,0,0,7.30E-05,0.000305148
859,6,NO VAC,9,9,0.000223877,0,0,0.000443311,0,0,0,0,0,0,8.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.005219953,4.51E-05,0.000190416
867,6,PRIME BOOST,9,11,2.76E-07,5.11E-05,9.69E-05,0.000148595,0.000113426,0,1.69E-05,0.000173022,0,0,6.15E-05,5.66E-05,2.25E-05,0,1.81E-05,0,9.31E-07,0,0,0,0,0,0,0,3.13E-05,6.34E-05
878,6,SINGLE LAIV,9,8,0,0.000954065,0,0.000980117,0,0,0,0,0,0.000137089,2.25E-06,6.02E-05,0,0,0,0,4.67E-07,0,0,0,0,0,0,0,4.11E-06,0.000333264
880,6,PRIME BOOST,9,8,0,0.000299823,1.25E-05,1.89E-05,0,0,2.51E-05,7.89E-05,6.57E-05,0,3.14E-06,0,2.46E-05,0,0,0.00023385,0,0,0,0,0,0,0,0,1.14E-05,8.42E-05
892,6,SINGLE LAIV,9,10,1.13E-05,0.000172633,6.87E-05,0.000504007,0,0.000634126,0.000249712,0.001357504,0,0.001973298,2.25E-05,0,0,0,7.75E-05,0.000705833,0.000403975,0,0,0,0,0,0,0,8.20E-05,0.00047303
562,3,NO VAC,9,3,0.000198552,0.000101684,0.000162412,0.000573241,0,0,9.24E-05,0.000762871,0,0.000189991,0.000204341,0.000185074,0.000247409,0,0.000154899,0,8.93E-05,0.000286836,0.000580777,0,0.000349718,0.000185271,0.000104187,0.00065357,0.000171304,0.000286724
582,3,NO VAC,9,7,6.22E-05,0.000212053,5.13E-05,0.000173783,0,0,9.31E-05,0.00014541,6.70E-05,0.000244588,0.00018134,0.00039276,0.000239634,0.000273888,4.16E-05,9.99E-05,0,0.000124997,0,0.000534194,0.000171988,0.000295802,8.85E-05,0,9.57E-05,2.13E-04
614,3,SINGLE LAIV,9,8,2.08E-05,0.00063282,NA,NA,NA,NA,6.04E-05,0,0,0,0,0,6.95E-05,0,0.000102734,0,0,0,0,0,5.86E-05,0,0,0,3.94E-05,0.000123974
